mirna,GSM4654614_P1,GSM4654615_P2,GSM4654616_P3,GSM4654617_P4,GSM4654618_P5,GSM4654619_P6,GSM4654620_N1,GSM4654621_N2,GSM4654622_N3
hsa-miR-4756-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4756-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4757-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4757-5p,2,0,0,0,0,0,0,0,0
hsa-miR-4758-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4758-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4759,0,0,0,0,0,0,0,0,0
hsa-miR-4760-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4760-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4761-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4761-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4762-3p,6,0,1,2,4,6,6,4,25
hsa-miR-4762-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4763-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4763-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4764-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4764-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4765,4,0,0,0,2,0,0,6,0
hsa-miR-4766-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4766-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4767,0,0,0,0,0,0,0,0,0
hsa-miR-4768-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4768-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4769-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4769-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4770,0,0,0,0,0,0,0,0,0
hsa-miR-4771,0,0,0,0,0,0,0,0,0
hsa-miR-4772-3p,1,0,0,0,3,0,0,0,0
hsa-miR-4772-5p,0,1,0,1,2,4,0,0,0
hsa-miR-4773,0,1,3,0,0,0,1,0,0
hsa-miR-4774-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4774-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4775,0,0,6,6,0,0,0,0,0
hsa-miR-4776-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4776-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4777-3p,0,0,0,0,0,0,4,0,0
hsa-miR-4777-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4778-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4778-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4779,1,3,0,0,0,0,0,1,0
hsa-miR-4780,0,0,0,0,0,0,0,0,0
hsa-miR-4781-3p,2,0,3,3,0,0,5,0,0
hsa-miR-4781-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4782-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4782-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4783-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4783-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4784,1,1,0,0,0,4,0,1,0
hsa-miR-4785,0,0,0,0,0,0,0,0,0
hsa-miR-4786-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4786-5p,1,1,12,1,5,0,0,0,0
hsa-miR-4787-3p,1,0,0,0,0,0,0,0,0
hsa-miR-4787-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4788,0,0,0,1,0,0,0,0,0
hsa-miR-4789-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4789-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4790-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4790-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4791,2,0,1,2,0,13,3,2,0
hsa-miR-4792,0,0,0,0,0,0,0,0,0
hsa-miR-4793-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4793-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4794,0,0,0,0,0,0,0,0,0
hsa-miR-4795-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4795-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4796-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4796-5p,0,0,0,0,8,0,0,0,5
hsa-miR-4797-3p,2,3,3,1,0,5,9,3,8
hsa-miR-4797-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4798-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4798-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4799-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4799-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4800-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4800-5p,0,0,2,0,0,0,0,5,0
hsa-miR-4801,0,0,0,0,0,0,0,0,0
hsa-miR-4802-3p,0,0,0,0,0,11,0,0,0
hsa-miR-4802-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4803,0,0,0,0,0,0,0,0,0
hsa-miR-4804-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4804-5p,0,10,6,1,1,4,7,25,1
hsa-miR-4999-3p,0,0,6,0,0,0,0,0,0
hsa-miR-4999-5p,0,0,5,0,0,0,5,0,4
hsa-miR-5000-3p,1,0,0,2,0,0,0,0,0
hsa-miR-5000-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5001-3p,2,2,7,0,1,3,0,1,1
hsa-miR-5001-5p,0,3,0,3,2,0,5,0,0
hsa-miR-5002-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5002-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5003-3p,1,5,3,3,0,9,12,0,0
hsa-miR-5003-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5004-3p,2,0,4,5,2,0,5,0,0
hsa-miR-5004-5p,5,0,0,0,1,8,0,0,0
hsa-miR-5006-3p,0,2,0,0,0,0,3,2,0
hsa-miR-5006-5p,0,0,0,1,1,0,0,0,0
hsa-miR-5007-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5007-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5008-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5008-5p,0,0,0,1,0,0,0,0,0
hsa-miR-5009-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5009-5p,8,18,21,6,7,7,25,18,9
hsa-miR-5010-3p,13,2,21,11,6,23,47,10,41
hsa-miR-5010-5p,34,39,116,19,17,108,78,45,88
hsa-miR-5011-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5011-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5047,0,0,0,0,0,0,0,0,0
hsa-miR-5087,0,0,0,0,0,0,0,0,0
hsa-miR-5088-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5088-5p,0,0,0,0,0,0,2,0,0
hsa-miR-5089-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5089-5p,0,0,0,0,2,0,0,0,0
hsa-miR-5090,1,2,0,1,0,5,0,5,4
hsa-miR-5091,0,0,0,0,0,0,0,0,0
hsa-miR-5092,0,0,0,0,0,0,0,0,0
hsa-miR-5093,0,0,8,0,0,0,0,0,0
hsa-miR-5094,0,0,0,2,6,0,0,0,0
hsa-miR-5095,0,0,0,0,0,0,0,0,0
hsa-miR-5096,0,0,0,0,0,0,0,0,0
hsa-miR-5100,0,0,0,0,0,2,1,0,0
hsa-miR-5186,0,0,0,0,0,0,0,0,0
hsa-miR-5187-3p,0,0,0,0,0,0,1,0,0
hsa-miR-5187-5p,29,8,5,8,5,11,9,3,31
hsa-miR-5188,1,2,0,0,0,0,0,0,5
hsa-miR-5189-3p,0,7,11,1,2,3,6,15,6
hsa-miR-5189-5p,34,58,41,23,17,62,32,33,30
hsa-miR-5190,2,0,0,0,0,0,0,0,0
hsa-miR-5191,0,0,0,0,1,0,0,0,0
hsa-miR-5192,1,0,0,0,0,0,0,3,0
hsa-miR-5193,2,0,0,2,1,0,0,2,0
hsa-miR-5194,0,0,0,0,0,0,0,2,0
hsa-miR-5195-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5195-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5196-3p,0,1,0,0,0,0,0,5,4
hsa-miR-5196-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5197-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5197-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5571-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5571-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5572,0,0,0,0,0,0,0,0,0
hsa-miR-5579-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5579-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5580-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5580-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5581-3p,0,0,0,0,1,0,0,2,0
hsa-miR-5581-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5582-3p,0,2,0,1,2,0,0,0,0
hsa-miR-5582-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5583-3p,1,0,0,0,0,0,0,0,0
hsa-miR-5583-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5584-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5584-5p,0,0,0,2,2,8,3,0,3
hsa-miR-5585-3p,0,0,0,0,0,0,0,0,2
hsa-miR-5585-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5586-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5586-5p,2,0,0,0,0,0,0,0,0
hsa-miR-5587-3p,0,2,4,1,0,1,0,0,0
hsa-miR-5587-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5588-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5588-5p,1,1,2,3,0,7,0,0,0
hsa-miR-5589-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5589-5p,0,1,0,0,0,0,0,0,2
hsa-miR-5590-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5590-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5591-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5591-5p,0,0,0,0,0,0,0,0,0
hsa-miR-5680,0,0,0,0,0,0,0,0,0
hsa-miR-5681a,0,0,0,0,0,0,0,0,0
hsa-miR-5681b,0,0,0,0,0,0,0,0,0
hsa-miR-5682,0,0,0,0,0,0,0,0,0
hsa-miR-5683,0,0,3,0,0,10,0,0,5
hsa-miR-5684,0,0,0,0,0,0,0,0,0
hsa-miR-5685,0,0,0,0,0,0,0,0,0
hsa-miR-5687,0,0,0,0,0,0,0,0,0
hsa-miR-5688,0,0,0,0,0,0,0,0,0
hsa-miR-5689,0,0,0,0,0,0,0,0,0
hsa-miR-5690,0,0,0,0,0,0,0,0,0
hsa-miR-5691,0,0,3,0,0,0,0,0,0
hsa-miR-5692a,0,0,0,0,0,0,0,0,0
hsa-miR-5692b,0,0,0,0,0,0,0,0,0
hsa-miR-5692c,0,0,0,0,0,0,0,0,0
hsa-miR-5693,0,0,0,0,0,0,0,0,0
hsa-miR-5694,0,0,0,0,0,0,0,0,0
hsa-miR-5695,3,0,13,3,2,9,1,5,2
hsa-miR-5696,0,5,0,0,0,0,0,0,0
hsa-miR-5697,0,0,0,0,2,5,0,0,0
hsa-miR-5698,1,0,1,1,3,0,0,7,6
hsa-miR-5699-3p,0,0,0,0,0,0,0,0,0
hsa-miR-5699-5p,0,0,0,0,0,3,0,0,0
hsa-miR-5700,0,0,0,0,0,0,0,0,0
hsa-miR-5701,0,0,0,0,0,0,0,0,0
hsa-miR-5702,0,0,0,0,0,0,0,0,0
hsa-miR-5703,3,0,0,0,0,0,0,0,0
hsa-miR-5704,0,0,0,0,0,0,0,0,0
hsa-miR-5705,0,0,0,0,0,0,0,0,0
hsa-miR-5706,0,0,0,0,1,0,0,0,0
hsa-miR-5707,0,0,0,0,0,0,0,0,0
hsa-miR-5708,0,0,0,0,0,0,0,0,0
hsa-miR-5739,0,0,0,0,0,0,0,0,0
hsa-miR-5787,0,0,0,0,0,0,0,0,0
hsa-miR-6068,0,0,0,0,0,0,0,0,0
hsa-miR-6069,0,0,0,0,0,0,0,0,0
hsa-miR-6070,0,0,0,0,0,0,0,0,0
hsa-miR-6071,0,0,0,0,0,0,0,0,0
hsa-miR-6072,0,0,0,0,0,0,0,0,0
hsa-miR-6073,0,0,0,0,0,0,0,0,0
hsa-miR-6074,0,0,0,0,0,0,0,0,0
hsa-miR-6075,0,0,0,0,0,0,0,0,0
hsa-miR-6076,0,0,0,0,0,0,0,0,0
hsa-miR-6077,0,0,0,0,0,0,0,0,0
hsa-miR-6078,0,0,0,0,0,0,0,0,0
hsa-miR-6079,0,0,0,0,0,0,0,0,0
hsa-miR-6080,0,0,0,0,0,0,0,0,0
hsa-miR-6081,0,0,0,0,0,0,0,0,0
hsa-miR-6082,0,0,0,0,0,0,0,0,0
hsa-miR-6083,0,0,0,0,0,0,0,0,0
hsa-miR-6084,0,0,0,0,0,0,0,0,0
hsa-miR-6085,0,0,0,0,0,0,0,0,0
hsa-miR-6086,0,0,0,0,0,0,0,0,0
hsa-miR-6087,0,0,0,0,0,0,0,0,0
hsa-miR-6088,0,0,0,0,0,0,0,0,0
hsa-miR-6089,0,0,0,0,0,0,0,0,0
hsa-miR-6090,0,0,0,0,0,0,0,0,0
hsa-miR-6124,0,0,0,0,0,0,0,0,0
hsa-miR-6125,0,0,0,0,0,0,0,0,0
hsa-miR-6126,0,0,0,0,0,0,0,0,0
hsa-miR-6127,0,0,0,0,0,0,0,0,0
hsa-miR-6128,0,0,0,0,0,0,0,0,0
hsa-miR-6129,0,0,0,0,0,0,0,0,0
hsa-miR-6130,0,0,0,0,0,0,0,0,0
hsa-miR-6131,0,0,0,0,0,0,0,0,0
hsa-miR-6132,0,0,0,0,0,0,0,0,0
hsa-miR-6133,0,0,0,0,0,0,0,0,0
hsa-miR-6134,0,0,0,0,0,0,0,0,0
hsa-miR-6165,0,0,0,0,0,0,0,0,0
hsa-miR-6499-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6499-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6500-3p,5,3,0,0,0,0,0,0,0
hsa-miR-6500-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6501-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6501-5p,6,9,11,0,5,2,0,5,0
hsa-miR-6502-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6502-5p,0,0,4,0,0,0,0,0,0
hsa-miR-6503-3p,6,3,18,1,3,9,4,4,39
hsa-miR-6503-5p,0,1,2,0,0,1,4,5,8
hsa-miR-6504-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6504-5p,2,2,2,0,1,0,0,0,0
hsa-miR-6505-3p,1,3,0,0,0,8,0,1,7
hsa-miR-6505-5p,0,3,0,5,4,8,0,0,0
hsa-miR-6506-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6506-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6507-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6507-5p,0,2,0,0,0,0,2,0,0
hsa-miR-6508-3p,0,0,0,0,1,0,0,1,0
hsa-miR-6508-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6509-3p,0,0,0,0,0,2,0,0,0
hsa-miR-6509-5p,2,3,12,5,0,17,1,2,3
hsa-miR-6510-3p,1,5,10,2,0,0,1,1,0
hsa-miR-6510-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6511a-3p,0,0,5,0,0,0,0,2,0
hsa-miR-6511a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6511b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6511b-5p,0,6,4,0,2,4,4,6,3
hsa-miR-6512-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6512-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6513-3p,2,0,8,3,3,13,8,7,0
hsa-miR-6513-5p,2,0,0,0,0,0,0,0,0
hsa-miR-6514-3p,2,2,2,1,0,3,1,1,7
hsa-miR-6514-5p,6,0,0,6,6,10,4,5,0
hsa-miR-6515-3p,0,2,0,2,0,0,0,0,4
hsa-miR-6515-5p,38,13,28,13,23,10,11,4,9
hsa-miR-6516-3p,5,3,4,2,6,0,0,0,0
hsa-miR-6516-5p,11,7,5,7,10,5,1,0,8
hsa-miR-6715a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6715b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6715b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6716-3p,4,12,14,2,0,1,0,2,19
hsa-miR-6716-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6717-5p,0,3,0,1,0,0,0,0,0
hsa-miR-6718-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6719-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6720-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6720-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6721-5p,20,3,11,15,5,7,7,9,32
hsa-miR-6722-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6722-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6723-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6724-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6726-3p,0,0,0,0,0,0,0,0,4
hsa-miR-6726-5p,0,0,0,0,0,0,0,1,0
hsa-miR-6727-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6727-5p,4,0,0,0,0,0,0,0,0
hsa-miR-6728-3p,0,1,0,0,0,0,0,0,0
hsa-miR-6728-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6729-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6729-5p,1,6,3,0,0,4,12,1,0
hsa-miR-6730-3p,0,1,0,0,0,0,0,4,6
hsa-miR-6730-5p,3,3,5,0,0,0,0,0,0
hsa-miR-6731-3p,0,0,0,0,2,0,0,0,0
hsa-miR-6731-5p,0,1,0,0,0,0,0,0,0
hsa-miR-6732-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6732-5p,0,0,3,0,0,0,0,0,0
hsa-miR-6733-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6733-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6734-3p,0,0,1,0,0,0,0,5,0
hsa-miR-6734-5p,32,24,80,10,4,14,13,8,34
hsa-miR-6735-3p,1,0,0,0,0,0,0,0,0
hsa-miR-6735-5p,1,6,21,5,1,13,12,5,16
hsa-miR-6736-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6736-5p,1,0,1,3,3,1,0,0,0
hsa-miR-6737-3p,1,0,0,0,0,0,0,0,0
hsa-miR-6737-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6738-3p,9,0,6,1,1,0,0,4,11
hsa-miR-6738-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6739-3p,1,0,0,1,1,1,0,0,0
hsa-miR-6739-5p,0,0,2,0,0,0,0,0,0
hsa-miR-6740-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6740-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6741-3p,7,25,17,17,7,16,25,18,51
hsa-miR-6741-5p,95,26,41,35,31,43,40,23,22
hsa-miR-6742-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6742-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6743-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6743-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6744-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6744-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6745,0,0,5,0,0,0,0,0,0
hsa-miR-6746-3p,0,0,0,0,0,0,0,1,0
hsa-miR-6746-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6747-3p,32,15,64,21,10,74,103,69,56
hsa-miR-6747-5p,0,0,4,1,0,0,0,0,0
hsa-miR-6748-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6748-5p,1,0,0,0,0,0,0,0,0
hsa-miR-6749-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6749-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6750-3p,3,0,0,0,0,0,0,0,0
hsa-miR-6750-5p,1,7,13,2,0,18,20,6,9
hsa-miR-6751-3p,0,0,0,3,0,0,0,0,0
hsa-miR-6751-5p,1,0,3,2,0,0,0,1,0
hsa-miR-6752-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6752-5p,0,0,0,0,0,0,0,0,1
hsa-miR-6753-3p,1,0,7,0,0,3,17,0,3
hsa-miR-6753-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6754-3p,3,3,0,0,0,0,0,0,0
hsa-miR-6754-5p,0,0,0,0,1,6,0,0,0
hsa-miR-6755-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6755-5p,2,8,1,1,4,7,0,5,0
hsa-miR-6756-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6756-5p,0,0,2,0,0,0,0,0,0
hsa-miR-6757-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6757-5p,2,0,2,0,0,0,0,0,0
hsa-miR-6758-3p,3,2,2,0,1,0,3,3,7
hsa-miR-6758-5p,3,0,0,2,1,0,2,0,0
hsa-miR-6759-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6759-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6760-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6760-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6761-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6761-5p,0,0,3,0,1,0,6,0,6
hsa-miR-6762-3p,1,0,0,0,0,3,0,0,0
hsa-miR-6762-5p,0,0,0,0,3,0,0,0,0
hsa-miR-6763-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6763-5p,3,3,5,0,5,0,0,0,0
hsa-miR-6764-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6764-5p,7,6,0,2,1,4,0,0,5
hsa-miR-6765-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6765-5p,0,0,0,0,0,0,0,0,1
hsa-miR-6766-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6766-5p,3,0,0,1,0,0,0,0,0
hsa-miR-6767-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6767-5p,14,17,17,4,8,28,38,20,9
hsa-miR-6768-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6768-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6769a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6769a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6769b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6769b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6770-3p,0,2,2,1,0,0,0,1,1
hsa-miR-6770-5p,1,0,6,0,0,0,0,0,0
hsa-miR-6771-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6771-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6772-3p,19,5,5,8,7,3,2,1,20
hsa-miR-6772-5p,1,0,0,3,1,0,0,0,0
hsa-miR-6773-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6773-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6774-3p,5,6,2,0,2,8,1,6,1
hsa-miR-6774-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6775-3p,6,0,0,3,0,0,1,4,0
hsa-miR-6775-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6776-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6776-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6777-3p,0,4,0,4,0,0,0,1,0
hsa-miR-6777-5p,1,1,0,0,1,4,2,2,4
hsa-miR-6778-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6778-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6779-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6779-5p,1,7,0,0,0,3,0,0,0
hsa-miR-6780a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6780a-5p,23,31,48,11,10,33,25,8,11
hsa-miR-6780b-3p,0,0,0,1,0,0,0,0,0
hsa-miR-6780b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6781-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6781-5p,0,4,5,0,0,0,3,2,0
hsa-miR-6782-3p,0,0,0,0,0,0,0,2,0
hsa-miR-6782-5p,1,7,0,1,1,0,1,0,0
hsa-miR-6783-3p,6,7,10,1,1,11,14,15,10
hsa-miR-6783-5p,1,3,0,1,0,5,4,4,0
hsa-miR-6784-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6784-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6785-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6785-5p,16,3,11,6,1,0,2,2,0
hsa-miR-6786-3p,1,1,7,3,0,4,5,11,17
hsa-miR-6786-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6787-3p,0,0,0,1,0,0,0,0,4
hsa-miR-6787-5p,0,0,0,1,0,2,0,0,0
hsa-miR-6788-3p,0,0,0,0,0,0,0,2,2
hsa-miR-6788-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6789-3p,0,0,0,0,0,0,0,3,0
hsa-miR-6789-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6790-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6790-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6791-3p,0,0,0,0,2,0,1,0,0
hsa-miR-6791-5p,0,0,4,1,0,0,0,0,0
hsa-miR-6792-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6792-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6793-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6793-5p,6,4,9,1,0,8,0,3,1
hsa-miR-6794-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6794-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6795-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6795-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6796-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6796-5p,0,0,0,0,1,1,0,0,0
hsa-miR-6797-3p,0,0,0,0,0,0,2,0,0
hsa-miR-6797-5p,0,1,0,0,0,0,0,0,0
hsa-miR-6798-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6798-5p,0,2,0,1,0,0,5,0,0
hsa-miR-6799-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6799-5p,1,0,0,1,0,0,0,0,0
hsa-miR-6800-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6800-5p,0,0,1,0,0,0,0,1,1
hsa-miR-6801-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6801-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6802-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6802-5p,2,0,1,4,3,3,0,1,0
hsa-miR-6803-3p,0,0,0,0,0,0,2,0,3
hsa-miR-6803-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6804-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6804-5p,3,3,6,0,3,6,4,4,1
hsa-miR-6805-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6805-5p,24,72,54,9,5,73,98,39,50
hsa-miR-6806-3p,11,20,18,4,9,10,22,8,7
hsa-miR-6806-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6807-3p,0,0,0,0,0,0,0,0,0
hsa-miR-6807-5p,1,1,1,0,0,0,0,0,0
hsa-miR-6808-3p,6,10,0,2,1,9,14,3,0
hsa-miR-6808-5p,0,0,0,0,0,0,0,0,0
hsa-miR-6809-3p,0,0,0,0,0,0,0,0,0
